Layer	Row	Module	Channel	Pedestal
         0         1         3        13   91.9529   2.65049
         0         1         3        14   102.681   2.92375
         0         1         3        15   89.0543   3.05191
         0         1         3        16   123.149   3.20011
         0         1         3        17   114.291   2.51752
         0         1         3        18   78.5335   2.05761
         0         1         3        19   158.683   3.04822
         0         1         3        20   88.1729   2.71655
         0         1         3        21   142.443   2.72076
         0         1         3        22    91.092   2.92243
         0         1         3        23   143.871   2.74898
         0         1         3        24   124.057   2.44458
         0         1         3        25   142.333   2.58035
         0         1         3        26   151.398   3.00539
         0         1         3        27   100.156   5.37238
         0         1         3        28   65.3367   5.99623
         0         1         3        29    64.195   3.36082
         0         1         3        30   105.478   2.21344
         0         1         3        31   112.547   2.43013
         0         1         4         0   93.0245   2.44086
         0         1         4         1   110.384   2.80184
         0         1         4         2   117.618   2.75109
         0         1         4         3   53.5124   2.34892
         0         1         4         4   104.392   2.80585
         0         1         4         5   130.212    2.9511
         0         1         4         6   99.0026   2.73721
         0         1         4         7   90.9906   2.76789
         0         1         4         8   111.866   2.69799
         0         1         4         9   110.595   2.68088
         0         1         4        10   100.872    2.5277
         0         1         4        11   86.1518    2.3752
         0         1         4        12   84.7144   2.36966
         0         1         4        13   69.3851   2.59341
         0         1         4        14   72.1113   2.78837
         0         1         4        15   106.877   3.24158
         0         1         4        16   99.8294   2.32908
         0         1         4        17   157.031   2.83757
         0         1         4        18   103.183   2.33404
         0         1         4        19     86.57   2.23222
         0         1         4        20    131.48   2.52082
         0         1         4        21   132.358   3.28957
         0         1         4        22   148.321   2.52061
         0         1         4        23   111.246   2.69639
         0         1         4        24   68.9343   2.82596
         0         1         4        25   95.6714   2.60482
         0         1         4        26   133.947   2.44647
         0         1         4        27    144.85   2.48012
         0         1         4        28   112.224   2.67239
         0         1         4        29   80.5855   2.70462
         0         1         4        30   121.022     2.558
         0         1         4        31   122.237   2.53286
         0         1         5         0   161.492   1.25426
         0         1         5         1   169.078   2.89298
         0         1         5         2   129.191   2.96626
         0         1         5         3   110.055   2.85802
         0         1         5         4   151.563   2.84612
         0         1         5         5   133.626   2.90703
         0         1         5         6   131.884   2.97818
         0         1         5         7   126.563   3.08226
         0         1         5         8   141.059    2.7846
         0         1         5         9    122.93   2.80845
         0         1         5        10   168.766   2.82806
